Question,Industry,Control No.,Control Title,Control Description,Priority,References
How often does your business review cybersecurity risks?,Services,5.35,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
Which cybersecurity measures does your business use? (Select all that apply):,Services,8.13;8.5;8.8;8.2;5.34,Information backup;Secure authentication;Management of technical vulnerabilities;Networks security;Privacy and protection of personally identifiable information (PII),"Backup of data and systems shall be maintained and tested regularly.;Secure authentication technologies and procedures shall be implemented based on access restrictions and topic-specific policy.;Organizations shall assess and address technical vulnerabilities of systems in use.;Network devices and infrastructure must be secured, managed, and controlled to protect system information.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.",High,"NCSC-SME-Guidance-0225.pdf (p.13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Backup);NCSC_NIS2_Guide.pdf (Section 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Security), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Technical Vulnerability Management)"
Which cybersecurity standards does your organization follow? (Select all that apply):,Services,5.36;5.31,"Compliance with policies, rules and standards for information security;Legal, statutory, regulatory and contractual requirements","Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.;Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.5)"
What are the most pressing cybersecurity challenges currently faced by your business? (Select all that apply),Services,6.3;5.2;5.36;5.4;5.8,"Information security awareness, education and training;Information security roles and responsibilities;Compliance with policies, rules and standards for information security;Management responsibilities;Information security in project management","Personnel and relevant interested parties shall receive appropriate information security awareness, education, and training, including updates of the organization's policies and procedures relevant to their job function.;Information security roles and responsibilities shall be defined and allocated according to the organization needs.;Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.;Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.;Information security shall be integrated into project management.",High,"NCSC-SME-Guidance-0225.pdf (p.10), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), OJ_L_202500302_EN_TXT.pdf (Article 1)"
Where do you get information about cybersecurity threats or best practices? (Select all that apply):,Services,5.7;5.5;5.6;5.19;8.16,Threat intelligence;Contact with authorities;Contact with special interest groups;Information security in supplier relationships;Monitoring activities,"Information relating to information security threats shall be collected and analysed to produce threat intelligence.;The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.;Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.;Networks, systems, and applications shall be monitored for anomalous behavior; actions must be taken to evaluate incidents.",Medium,"NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Detect, Monitoring), NCSC-SME-Guidance-0225.pdf (p.10);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3);national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
How likely is your business to improve cybersecurity in the next 12 months?,Services,5.35;5.27,Independent review of information security;Learning from information security incidents,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.;Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
Would your business benefit from a tailored cybersecurity risk report?,Services,5.35,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
"Does your business have a documented and tested cybersecurity incident response plan that outlines clear roles, escalation procedures, and communication strategies?",Services,5.24;5.3,Information security incident management planning and preparation;ICT readiness for business continuity,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), national-cyber-risk-assessment-2022.pdf (p.26);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19)"
"Does your business store or process sensitive data (e.g., personal, financial, health)?",Services,5.9;5.12;5.34;5.33,Inventory of information and other associated assets;Classification of information;Privacy and protection of personally identifiable information (PII);Protection of records,"An inventory of information and other associated assets, including owners, shall be developed and maintained.;Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.;Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9, Appendix B - Identify, Asset Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security)"
Does your business have a dedicated IT or cybersecurity team?,E-commerce,5.2,Information security roles and responsibilities,Information security roles and responsibilities shall be defined and allocated according to the organization needs.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), NCSC_NIS2_Guide.pdf (Section 5)"
annual cybersecurity budget?,E-commerce,5.4,Management responsibilities,"Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10)"
How frequently does your business review or update its cybersecurity policies?,E-commerce,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
(Optional) Has your business ever experienced a cybersecurity issue,E-commerce,5.27;5.25,Learning from information security incidents;Assessment and decision on information security events,Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.;The organization shall assess information security events and decide if they are to be categorized as information security incidents.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
"If yes, which types of incidents occurred? (Select all that apply):",E-commerce,5.25;5.24,Assessment and decision on information security events;Information security incident management planning and preparation,"The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
What impact did the cybersecurity incident(s) have on your business?,E-commerce,5.25;5.29,Assessment and decision on information security events;Information security during disruption,The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan how to maintain information security at an appropriate level during disruption.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
How concerned are you about cybersecurity threats affecting your business?,E-commerce,5.7,Threat intelligence,Information relating to information security threats shall be collected and analysed to produce threat intelligence.,Medium,"national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business keep up with news or alerts about cybersecurity threats?,E-commerce,5.7;5.5;5.6,Threat intelligence;Contact with authorities;Contact with special interest groups,Information relating to information security threats shall be collected and analysed to produce threat intelligence.;The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.,Medium,"NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3);national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business have a formal cybersecurity policy in place?,E-commerce,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
Do you have a plan to respond to cybersecurity breaches?,E-commerce,5.24;5.26,Information security incident management planning and preparation;Response to information security incidents,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;Information security incidents shall be responded to in accordance with the documented procedures.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 20), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19)"
How often does your business review cybersecurity risks?,E-commerce,5.35,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
Which cybersecurity measures does your business use? (Select all that apply):,E-commerce,8.13;8.5;8.8;8.2;5.34,Information backup;Secure authentication;Management of technical vulnerabilities;Networks security;Privacy and protection of personally identifiable information (PII),"Backup of data and systems shall be maintained and tested regularly.;Secure authentication technologies and procedures shall be implemented based on access restrictions and topic-specific policy.;Organizations shall assess and address technical vulnerabilities of systems in use.;Network devices and infrastructure must be secured, managed, and controlled to protect system information.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.",High,"NCSC-SME-Guidance-0225.pdf (p.13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Backup);NCSC_NIS2_Guide.pdf (Section 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Security), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Technical Vulnerability Management)"
Which cybersecurity standards does your organization follow? (Select all that apply):,E-commerce,5.36;5.31,"Compliance with policies, rules and standards for information security;Legal, statutory, regulatory and contractual requirements","Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.;Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.5)"
What are the most pressing cybersecurity challenges currently faced by your business? (Select all that apply),E-commerce,6.3;5.2;5.36;5.4;5.8,"Information security awareness, education and training;Information security roles and responsibilities;Compliance with policies, rules and standards for information security;Management responsibilities;Information security in project management","Personnel and relevant interested parties shall receive appropriate information security awareness, education, and training, including updates of the organization's policies and procedures relevant to their job function.;Information security roles and responsibilities shall be defined and allocated according to the organization needs.;Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.;Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.;Information security shall be integrated into project management.",High,"NCSC-SME-Guidance-0225.pdf (p.10), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), OJ_L_202500302_EN_TXT.pdf (Article 1)"
Where do you get information about cybersecurity threats or best practices? (Select all that apply):,E-commerce,5.7;5.5;5.6;5.19;8.16,Threat intelligence;Contact with authorities;Contact with special interest groups;Information security in supplier relationships;Monitoring activities,"Information relating to information security threats shall be collected and analysed to produce threat intelligence.;The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.;Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.;Networks, systems, and applications shall be monitored for anomalous behavior; actions must be taken to evaluate incidents.",Medium,"NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Detect, Monitoring), NCSC-SME-Guidance-0225.pdf (p.10);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3);national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
How likely is your business to improve cybersecurity in the next 12 months?,E-commerce,5.35;5.27,Independent review of information security;Learning from information security incidents,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.;Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
Would your business benefit from a tailored cybersecurity risk report?,E-commerce,5.35,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
"Does your business have a documented and tested cybersecurity incident response plan that outlines clear roles, escalation procedures, and communication strategies?",E-commerce,5.24;5.3,Information security incident management planning and preparation;ICT readiness for business continuity,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), national-cyber-risk-assessment-2022.pdf (p.26);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19)"
"Does your business store or process sensitive data (e.g., personal, financial, health)?",E-commerce,5.9;5.12;5.34;5.33,Inventory of information and other associated assets;Classification of information;Privacy and protection of personally identifiable information (PII);Protection of records,"An inventory of information and other associated assets, including owners, shall be developed and maintained.;Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.;Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9, Appendix B - Identify, Asset Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security)"
Does your business have a dedicated IT or cybersecurity team?,Healthcare,5.2,Information security roles and responsibilities,Information security roles and responsibilities shall be defined and allocated according to the organization needs.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), NCSC_NIS2_Guide.pdf (Section 5)"
annual cybersecurity budget?,Healthcare,5.4,Management responsibilities,"Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10)"
How frequently does your business review or update its cybersecurity policies?,Healthcare,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
(Optional) Has your business ever experienced a cybersecurity issue,Healthcare,5.27;5.25,Learning from information security incidents;Assessment and decision on information security events,Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.;The organization shall assess information security events and decide if they are to be categorized as information security incidents.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
"If yes, which types of incidents occurred? (Select all that apply):",Healthcare,5.25;5.24,Assessment and decision on information security events;Information security incident management planning and preparation,"The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
What impact did the cybersecurity incident(s) have on your business?,Healthcare,5.25;5.29,Assessment and decision on information security events;Information security during disruption,The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan how to maintain information security at an appropriate level during disruption.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
How concerned are you about cybersecurity threats affecting your business?,Healthcare,5.7,Threat intelligence,Information relating to information security threats shall be collected and analysed to produce threat intelligence.,Medium,"national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business keep up with news or alerts about cybersecurity threats?,Healthcare,5.7;5.5;5.6,Threat intelligence;Contact with authorities;Contact with special interest groups,Information relating to information security threats shall be collected and analysed to produce threat intelligence.;The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.,Medium,"NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3);national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business have a formal cybersecurity policy in place?,Healthcare,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
Do you have a plan to respond to cybersecurity breaches?,Healthcare,5.24;5.26,Information security incident management planning and preparation;Response to information security incidents,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;Information security incidents shall be responded to in accordance with the documented procedures.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 20), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19)"
How often does your business review cybersecurity risks?,Healthcare,5.35,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
Which cybersecurity measures does your business use? (Select all that apply):,Healthcare,8.13;8.5;8.8;8.2;5.34,Information backup;Secure authentication;Management of technical vulnerabilities;Networks security;Privacy and protection of personally identifiable information (PII),"Backup of data and systems shall be maintained and tested regularly.;Secure authentication technologies and procedures shall be implemented based on access restrictions and topic-specific policy.;Organizations shall assess and address technical vulnerabilities of systems in use.;Network devices and infrastructure must be secured, managed, and controlled to protect system information.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.",High,"NCSC-SME-Guidance-0225.pdf (p.13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Backup);NCSC_NIS2_Guide.pdf (Section 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Security), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Technical Vulnerability Management)"
